persistentid,venueid,utc_date,utc_hour,local_date,local_hour,gender,age,full_panel_reweighted_sag_score,dwell,home_zip,venuename,address,city,dma,state,country,geolat,geolong,catid,catname,level1catId,level1cat,level2catId,level2cat,level3catId,level3cat,chainid,chainname,parentvenueid,zip,sample
19,4c7407961b30a0933484eb09,2020-05-14,16,2020-05-14,11,Female,Age_45_to_49,115.90568008422218,129,,Cedar Park Tire And Service,,Cedar Park,"Austin, TX",TX,US,30.509940737233595,-97.82312121838991,4bf58dd8d48988d124951735,Automotive Shops,4d4b7105d754a06378d81259,Shops & Services,4bf58dd8d48988d124951735,Automotive Shops,,,,,,78613,us_all
63,4ba67da6f964a520ad5739e3,2020-05-24,17,2020-05-24,12,Male,Age_40_to_44,81.33380093870063,500,78753.0,Cost Cutters (Wells Branch),,Austin,"Austin, TX",TX,US,30.442038419363953,-97.66363036291013,4bf58dd8d48988d110951735,Salons / Barbershops,4d4b7105d754a06378d81259,Shops & Services,4bf58dd8d48988d110951735,Salons / Barbershops,,,,,,,us_all
67,4bb383da4019a5936e0938b8,2020-05-18,14,2020-05-18,9,Male,Age_40_to_44,102.35254223202358,1569,76574.0,IBM Building 908 (Cafeteria),11501 Burnet Rd,Austin,"Austin, TX",TX,US,30.40296691403951,-97.71455495930871,4bf58dd8d48988d128941735,Cafeterias,4d4b7105d754a06374d81259,Food,4bf58dd8d48988d128941735,Cafeterias,,,,,,78758,us_all
67,4bb383da4019a5936e0938b8,2020-05-27,12,2020-05-27,7,Male,Age_40_to_44,92.1387061769709,1375,76574.0,IBM Building 908 (Cafeteria),11501 Burnet Rd,Austin,"Austin, TX",TX,US,30.40296691403951,-97.71455495930871,4bf58dd8d48988d128941735,Cafeterias,4d4b7105d754a06374d81259,Food,4bf58dd8d48988d128941735,Cafeterias,,,,,,78758,us_all
9,4be04521c9eac92879485a6b,2020-05-11,14,2020-05-11,9,Female,Age_40_to_44,115.96597767457143,2863,,Marbridge,2310 Bliss Spillar Rd,Manchaca,"Austin, TX",TX,US,30.13818115040195,-97.8568213217218,4bf58dd8d48988d1ff941735,Miscellaneous Shops,4d4b7105d754a06378d81259,Shops & Services,4bf58dd8d48988d1ff941735,Miscellaneous Shops,,,,,,78652,us_all
24,4be04521c9eac92879485a6b,2020-05-19,16,2020-05-19,11,Male,Age_45_to_49,104.39718701347434,884,,Marbridge,2310 Bliss Spillar Rd,Manchaca,"Austin, TX",TX,US,30.13818115040195,-97.8568213217218,4bf58dd8d48988d1ff941735,Miscellaneous Shops,4d4b7105d754a06378d81259,Shops & Services,4bf58dd8d48988d1ff941735,Miscellaneous Shops,,,,,,78652,us_all
58,4be04521c9eac92879485a6b,2020-05-21,16,2020-05-21,11,Male,Age_40_to_44,101.56820608223578,1915,,Marbridge,2310 Bliss Spillar Rd,Manchaca,"Austin, TX",TX,US,30.13818115040195,-97.8568213217218,4bf58dd8d48988d1ff941735,Miscellaneous Shops,4d4b7105d754a06378d81259,Shops & Services,4bf58dd8d48988d1ff941735,Miscellaneous Shops,,,,,,78652,us_all
4,4be04521c9eac92879485a6b,2020-05-09,14,2020-05-09,9,Male,Age_30_to_34,121.201962218216,95526,,Marbridge,2310 Bliss Spillar Rd,Manchaca,"Austin, TX",TX,US,30.13818115040195,-97.8568213217218,4bf58dd8d48988d1ff941735,Miscellaneous Shops,4d4b7105d754a06378d81259,Shops & Services,4bf58dd8d48988d1ff941735,Miscellaneous Shops,,,,,,78652,us_all
4,4be04521c9eac92879485a6b,2020-05-05,10,2020-05-05,5,Male,Age_30_to_34,122.06540924403824,5771,,Marbridge,2310 Bliss Spillar Rd,Manchaca,"Austin, TX",TX,US,30.13818115040195,-97.8568213217218,4bf58dd8d48988d1ff941735,Miscellaneous Shops,4d4b7105d754a06378d81259,Shops & Services,4bf58dd8d48988d1ff941735,Miscellaneous Shops,,,,,,78652,us_all
54,4be04521c9eac92879485a6b,2020-05-05,12,2020-05-05,7,Female,Age_40_to_44,97.12147617846205,4045,,Marbridge,2310 Bliss Spillar Rd,Manchaca,"Austin, TX",TX,US,30.13818115040195,-97.8568213217218,4bf58dd8d48988d1ff941735,Miscellaneous Shops,4d4b7105d754a06378d81259,Shops & Services,4bf58dd8d48988d1ff941735,Miscellaneous Shops,,,,,,78652,us_all
4,4be04521c9eac92879485a6b,2020-05-02,15,2020-05-02,10,Male,Age_30_to_34,122.23108417916234,9470,,Marbridge,2310 Bliss Spillar Rd,Manchaca,"Austin, TX",TX,US,30.13818115040195,-97.8568213217218,4bf58dd8d48988d1ff941735,Miscellaneous Shops,4d4b7105d754a06378d81259,Shops & Services,4bf58dd8d48988d1ff941735,Miscellaneous Shops,,,,,,78652,us_all
